Probe.Set.ID	UniGene.ID	Gene.Title	Gene.Symbol	RefSeq.Transcript.ID
204222_s_at	Hs.553516	GLI pathogenesis-related 1 (glioma)	GLIPR1	NM_006851 
204223_at	Hs.76494	proline/arginine-rich end leucine-rich repeat protein	PRELP	NM_002725 /// NM_201348 
204224_s_at	Hs.86724	GTP cyclohydrolase 1 (dopa-responsive dystonia)	GCH1	NM_000161 /// NM_001024024 /// NM_001024070 /// NM_001024071 
204225_at	Hs.20516	histone deacetylase 4	HDAC4	NM_006037 
204226_at	Hs.350756	staufen, RNA binding protein, homolog 2 (Drosophila)	STAU2	NM_014393 
204227_s_at	Hs.512619	thymidine kinase 2, mitochondrial	TK2	NM_004614 
204228_at	Hs.256639	peptidyl prolyl isomerase H (cyclophilin H)	PPIH	NM_006347 
204229_at	Hs.375616	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7	SLC17A7	NM_020309 
204230_s_at	Hs.375616	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7	SLC17A7	NM_020309 
204231_s_at	Hs.528334	fatty acid amide hydrolase	FAAH	NM_001441 
204232_at	Hs.433300	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	FCER1G	NM_004106 
204233_s_at	Hs.77221	choline kinase alpha	CHKA	NM_001277 /// NM_212469 
204234_s_at	Hs.386294	zinc finger protein 195	ZNF195	NM_007152 
204235_s_at	Hs.470887	GULP, engulfment adaptor PTB domain containing 1	GULP1	NM_016315 
204236_at	Hs.504281	Friend leukemia virus integration 1	FLI1	NM_002017 
204237_at	Hs.470887	GULP, engulfment adaptor PTB domain containing 1	GULP1	NM_016315 
204238_s_at	Hs.109752	chromosome 6 open reading frame 108	C6orf108	NM_006443 /// NM_199184 
204239_s_at	Hs.504703	neuronatin	NNAT	NM_005386 /// NM_181689 
204240_s_at	Hs.119023	SMC2 structural maintenance of chromosomes 2-like 1 (yeast)	SMC2L1	NM_006444 
204241_at	Hs.479122	acyl-Coenzyme A oxidase 3, pristanoyl	ACOX3	NM_003501 
204242_s_at	Hs.479122	acyl-Coenzyme A oxidase 3, pristanoyl	ACOX3	NM_003501 
204243_at	Hs.205627	rearranged L-myc fusion	RLF	NM_012421 
204244_s_at	Hs.208414	activator of S phase kinase	ASK	NM_006716 
204245_s_at	Hs.446320	ribonuclease P 14kDa subunit	RPP14	NM_007042 
204246_s_at	Hs.511768	dynactin 3 (p22)	DCTN3	NM_007234 /// NM_024348 
204247_s_at	Hs.166071	cyclin-dependent kinase 5	CDK5	NM_004935 
204248_at	Hs.515056	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	GNA11	NM_002067 
204249_s_at	Hs.34560	LIM domain only 2 (rhombotin-like 1)	LMO2	NM_005574 
204250_s_at	Hs.504009	KIAA1052 protein	Cep164	NM_014956 
204251_s_at	Hs.504009	KIAA1052 protein	Cep164	NM_014956 
204252_at	Hs.19192	cyclin-dependent kinase 2	CDK2	NM_001798 /// NM_052827 
204253_s_at	Hs.524368	vitamin D (1,25- dihydroxyvitamin D3) receptor	VDR	NM_000376 /// NM_001017535 
204254_s_at	Hs.524368	vitamin D (1,25- dihydroxyvitamin D3) receptor	VDR	NM_000376 /// NM_001017535 
204255_s_at	Hs.524368	vitamin D (1,25- dihydroxyvitamin D3) receptor	VDR	NM_000376 /// NM_001017535 
204256_at	Hs.412939	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	ELOVL6	NM_024090 
204257_at	Hs.21765	fatty acid desaturase 3	FADS3	NM_021727 
204258_at	Hs.519474	chromodomain helicase DNA binding protein 1	CHD1	NM_001270 
204259_at	Hs.2256	matrix metallopeptidase 7 (matrilysin, uterine)	MMP7	NM_002423 
204260_at	Hs.516874	chromogranin B (secretogranin 1)	CHGB	NM_001819 
204261_s_at	Hs.25363	presenilin 2 (Alzheimer disease 4)	PSEN2	NM_000447 /// NM_012486 
204262_s_at	Hs.25363	presenilin 2 (Alzheimer disease 4)	PSEN2	NM_000447 /// NM_012486 
204263_s_at	Hs.274336	carnitine palmitoyltransferase II	CPT2	NM_000098 
204264_at	Hs.274336	carnitine palmitoyltransferase II	CPT2	NM_000098 
204265_s_at	Hs.520046	G-protein signalling modulator 3 (AGS3-like, C. elegans)	GPSM3	NM_022107 
204266_s_at	Hs.77221	choline kinase alpha	CHKA	NM_001277 /// NM_212469 
204267_x_at	Hs.77783	protein kinase, membrane associated tyrosine/threonine 1	PKMYT1	NM_004203 /// NM_182687 
204268_at	Hs.516484	S100 calcium binding protein A2	S100A2	NM_005978 
204269_at	Hs.496096	pim-2 oncogene	PIM2	NM_006875 
204270_at	Hs.467529	v-ski sarcoma viral oncogene homolog (avian)	SKI	NM_003036 
204271_s_at	Hs.82002	endothelin receptor type B	EDNRB	NM_000115 /// NM_003991 
204272_at	Hs.5302	lectin, galactoside-binding, soluble, 4 (galectin 4)	LGALS4	NM_006149 
204273_at	Hs.82002	endothelin receptor type B	EDNRB	NM_000115 /// NM_003991 
204274_at	Hs.409368	estrogen receptor binding site associated, antigen, 9	EBAG9	NM_004215 /// NM_198120 
204275_at	Hs.416262	small optic lobes homolog (Drosophila)	SOLH	NM_005632 
204276_at	Hs.512619	thymidine kinase 2, mitochondrial	TK2	NM_004614 
204277_s_at	Hs.512619	thymidine kinase 2, mitochondrial	TK2	NM_004614 
204278_s_at	Hs.409368	estrogen receptor binding site associated, antigen, 9	EBAG9	NM_004215 /// NM_198120 
204279_at	Hs.381081	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	PSMB9	NM_002800 /// NM_148954 
204280_at	Hs.9347	regulator of G-protein signalling 14	RGS14	NM_006480 
204281_at	Hs.94865	TEA domain family member 4	TEAD4	NM_003213 /// NM_201441 /// NM_201443 
204282_s_at	Hs.484547	phenylalanine-tRNA synthetase 2 (mitochondrial)	FARS2	NM_006567 
204283_at	Hs.484547	phenylalanine-tRNA synthetase 2 (mitochondrial)	FARS2	NM_006567 
204284_at	Hs.303090	protein phosphatase 1, regulatory (inhibitor) subunit 3C	PPP1R3C	NM_005398 
204285_s_at	Hs.96	phorbol-12-myristate-13-acetate-induced protein 1	PMAIP1	NM_021127 
204286_s_at	Hs.96	phorbol-12-myristate-13-acetate-induced protein 1	PMAIP1	NM_021127 
204287_at	Hs.216226	synaptogyrin 1	SYNGR1	NM_004711 /// NM_145731 /// NM_145738 
204288_s_at	Hs.481342	sorbin and SH3 domain containing 2	SORBS2	NM_003603 /// NM_021069 
204289_at	Hs.293970	aldehyde dehydrogenase 6 family, member A1	ALDH6A1	NM_005589 
204290_s_at	Hs.293970	aldehyde dehydrogenase 6 family, member A1	ALDH6A1	NM_005589 
204291_at	Hs.147895	zinc finger protein 518	ZNF518	NM_014803 
204292_x_at	Hs.515005	serine/threonine kinase 11 (Peutz-Jeghers syndrome)	STK11	NM_000455 
204293_at	Hs.31074	N-sulfoglucosamine sulfohydrolase (sulfamidase)	SGSH	NM_000199 
204294_at	Hs.102	aminomethyltransferase (glycine cleavage system protein T)	AMT	NM_000481 
204295_at	Hs.512464	surfeit 1	SURF1	NM_003172 
204296_at	Hs.516111	dynactin 1 (p150, glued homolog, Drosophila)	DCTN1	NM_004082 /// NM_023019 
204297_at	Hs.464971	phosphoinositide-3-kinase, class 3	PIK3C3	NM_002647 
204298_s_at	Hs.102267	lysyl oxidase	LOX	NM_002317 
204299_at	Hs.3530	FUS interacting protein (serine/arginine-rich) 1	FUSIP1	NM_006625 /// NM_054016 
204300_at	Hs.119316	PET112-like (yeast)	PET112L	NM_004564 
204301_at	Hs.5333	kelch repeat and BTB (POZ) domain containing 11	KBTBD11	NM_014867 
204302_s_at	Hs.145230	KIAA0427	KIAA0427	NM_014772 
204303_s_at	Hs.145230	KIAA0427	KIAA0427	NM_014772 
204304_s_at	Hs.479220	prominin 1	PROM1	NM_006017 
204305_at	Hs.507498	mitochondrial intermediate peptidase	MIPEP	NM_005932 
204306_s_at	Hs.512857	CD151 antigen	CD151	NM_004357 /// NM_139030 
204307_at	Hs.195667	KIAA0329	KIAA0329	NM_014844 
204308_s_at	Hs.195667	KIAA0329	KIAA0329	NM_014844 
204309_at	Hs.303980	cytochrome P450, family 11, subfamily A, polypeptide 1 /// cytochrome P450, family 11, subfamily A, polypeptide 1	CYP11A1	NM_000781 
204310_s_at	Hs.78518	natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B)	NPR2	NM_000907 /// NM_003995 
204311_at	Hs.78854	ATPase, Na+/K+ transporting, beta 2 polypeptide	ATP1B2	NM_001678 
204312_x_at	Hs.516646	cAMP responsive element binding protein 1	CREB1	NM_004379 /// NM_134442 
204313_s_at	Hs.516646	cAMP responsive element binding protein 1	CREB1	NM_004379 /// NM_134442 
204314_s_at	Hs.516646	cAMP responsive element binding protein 1	CREB1	NM_004379 /// NM_134442 
204315_s_at	Hs.386189	G-2 and S-phase expressed 1	GTSE1	NM_016426 
204316_at	Hs.501200	regulator of G-protein signalling 10	RGS10	NM_001005339 /// NM_002925 
204317_at	Hs.386189	G-2 and S-phase expressed 1 /// hypothetical gene supported by BC069212	GTSE1 /// LOC440834	NM_016426 /// XM_498882 
204318_s_at	Hs.386189	G-2 and S-phase expressed 1	GTSE1	NM_016426 
204319_s_at	Hs.501200	regulator of G-protein signalling 10	RGS10	NM_001005339 /// NM_002925 
204320_at	Hs.523446	collagen, type XI, alpha 1	COL11A1	NM_001854 /// NM_080629 /// NM_080630 
204321_at	Hs.388613	neogenin homolog 1 (chicken)	NEO1	NM_002499 
204322_at	Hs.143600	golgi phosphoprotein 4	GOLPH4	NM_014498 
204323_x_at	Hs.113874	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	NF1	NM_000267 
204324_s_at	Hs.143600	golgi phosphoprotein 4	GOLPH4	NM_014498 
204325_s_at	Hs.113874	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	NF1	NM_000267 
204326_x_at	Hs.374950	metallothionein 1X	MT1X	NM_005952 
204327_s_at	Hs.112556	zinc finger protein 202	ZNF202	NM_003455 
204328_at	Hs.16165	epidermodysplasia verruciformis 1	EVER1	NM_007267 
204329_s_at	Hs.112556	zinc finger protein 202	ZNF202	NM_003455 
204330_s_at	Hs.411125	mitochondrial ribosomal protein S12	MRPS12	NM_021107 /// NM_033362 /// NM_033363 
204331_s_at	Hs.411125	mitochondrial ribosomal protein S12	MRPS12	NM_021107 /// NM_033362 /// NM_033363 
204332_s_at	Hs.207776	aspartylglucosaminidase	AGA	NM_000027 
204333_s_at	Hs.207776	aspartylglucosaminidase	AGA	NM_000027 
204334_at	Hs.471221	Kruppel-like factor 7 (ubiquitous)	KLF7	NM_003709 
204335_at	Hs.21811	hypothetical protein FLJ10374	FLJ10374	NM_018074 
204336_s_at	Hs.422336	regulator of G-protein signalling 19	RGS19	NM_005873 
204337_at	Hs.386726	regulator of G-protein signalling 4	RGS4	NM_005613 
204338_s_at	Hs.386726	regulator of G-protein signalling 4	RGS4	NM_005613 
204339_s_at	Hs.386726	regulator of G-protein signalling 4	RGS4	NM_005613 
204340_at	Hs.23119	chromosome X open reading frame 12	CXorf12	NM_003492 
204341_at	Hs.164324	tripartite motif-containing 16 /// similar to tripartite motif-containing 16; estrogen-responsive B box protein	TRIM16 /// LOC147166	NM_006470 /// XM_085722 
204342_at	Hs.132553	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24	SLC25A24	NM_013386 /// NM_213651 
204343_at	Hs.26630	ATP-binding cassette, sub-family A (ABC1), member 3	ABCA3	NM_001089 
204344_s_at	Hs.272927	Sec23 homolog A (S. cerevisiae)	SEC23A	NM_006364 
204345_at	Hs.368921	collagen, type XVI, alpha 1	COL16A1	NM_001856 
204346_s_at	Hs.476270	Ras association (RalGDS/AF-6) domain family 1	RASSF1	NM_007182 /// NM_170712 /// NM_170713 /// NM_170714 /// NM_170715 /// NM_170716 /// NM_170717 
204347_at	Hs.10862	adenylate kinase 3-like 1 /// adenylate kinase 3-like 2	AK3L1 /// AK3L2	NM_001002921 /// NM_001005353 /// NM_013410 /// NM_203464 
204348_s_at	Hs.10862	adenylate kinase 3-like 1	AK3L1	NM_001005353 /// NM_013410 /// NM_203464 
204349_at	Hs.279902	cofactor required for Sp1 transcriptional activation, subunit 9, 33kDa	CRSP9	NM_004270 
204350_s_at	Hs.279902	cofactor required for Sp1 transcriptional activation, subunit 9, 33kDa	CRSP9	NM_004270 
204351_at	Hs.2962	S100 calcium binding protein P	S100P	NM_005980 
204352_at	Hs.523930	TNF receptor-associated factor 5	TRAF5	NM_001033910 /// NM_004619 /// NM_145759 
204353_s_at	Hs.31968	POT1 protection of telomeres 1 homolog (S. pombe)	POT1	NM_015450 
204354_at	Hs.31968	POT1 protection of telomeres 1 homolog (S. pombe)	POT1	NM_015450 
204355_at	Hs.517948	DEAH (Asp-Glu-Ala-His) box polypeptide 30	DHX30	NM_014966 /// NM_138614 /// NM_138615 
204356_at	Hs.36566	LIM domain kinase 1	LIMK1	NM_002314 /// NM_016735 
204357_s_at	Hs.36566	LIM domain kinase 1	LIMK1	NM_002314 /// NM_016735 
204358_s_at	Hs.533710	fibronectin leucine rich transmembrane protein 2	FLRT2	NM_013231 
204359_at	Hs.533710	fibronectin leucine rich transmembrane protein 2	FLRT2	NM_013231 
204360_s_at	Hs.50727	N-acetylglucosaminidase, alpha- (Sanfilippo disease IIIB)	NAGLU	NM_000263 
204361_s_at	Hs.200770	src family associated phosphoprotein 2	SCAP2	NM_003930 
204362_at	Hs.200770	src family associated phosphoprotein 2	SCAP2	NM_003930 
204363_at	Hs.62192	coagulation factor III (thromboplastin, tissue factor)	F3	NM_001993 
204364_s_at	Hs.368884	chromosome 2 open reading frame 23	C2orf23	NM_022912 
204365_s_at	Hs.368884	chromosome 2 open reading frame 23	C2orf23	NM_022912 
204366_s_at	Hs.75782	general transcription factor IIIC, polypeptide 2, beta 110kDa	GTF3C2	NM_001521 
204367_at	Hs.514276	Sp2 transcription factor	SP2	NM_003110 
204368_at	Hs.518270	solute carrier organic anion transporter family, member 2A1	SLCO2A1	NM_005630 
204369_at	Hs.553498	phosphoinositide-3-kinase, catalytic, alpha polypeptide	PIK3CA	NM_006218 
204370_at	Hs.523687	ATP/GTP-binding protein	HEAB	NM_006831 
204371_s_at	Hs.91142	KH-type splicing regulatory protein (FUSE binding protein 2)	KHSRP	NM_003685 
204372_s_at	Hs.91142	KH-type splicing regulatory protein (FUSE binding protein 2)	KHSRP	NM_003685 
204373_s_at	Hs.413045	centrosome-associated protein 350	CAP350	NM_014810 
204374_s_at	Hs.407966	galactokinase 1	GALK1	NM_000154 
204375_at	Hs.535378	calsyntenin 3	CLSTN3	NM_014718 
204376_at	Hs.118738	Vpr-binding protein	VprBP	NM_014703 
204377_s_at	Hs.118738	Vpr-binding protein	VprBP	NM_014703 
204378_at	Hs.400556	breast carcinoma amplified sequence 1	BCAS1	NM_003657 
204379_s_at	Hs.1420	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	FGFR3	NM_000142 /// NM_022965 
204380_s_at	Hs.1420	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	FGFR3	NM_000142 /// NM_022965 
204381_at	Hs.515340	low density lipoprotein receptor-related protein 3	LRP3	NM_002333 
204382_at	Hs.144058	N-acetyltransferase 9	NAT9	NM_015654 
204383_at	Hs.517407	DiGeorge syndrome critical region gene 14	DGCR14	NM_022719 
204384_at	Hs.155827	golgi autoantigen, golgin subfamily a, 2	GOLGA2	NM_004486 
204385_at	Hs.470126	kynureninase (L-kynurenine hydrolase)	KYNU	NM_001032998 /// NM_003937 
204386_s_at	Hs.458367	mitochondrial ribosomal protein 63	MRP63	NM_024026 
204387_x_at	Hs.458367	mitochondrial ribosomal protein 63	MRP63	NM_024026 
204388_s_at	Hs.183109	monoamine oxidase A	MAOA	NM_000240 
204389_at	Hs.183109	monoamine oxidase A	MAOA	NM_000240 
204390_at	---	---	---	--- 
204391_x_at	Hs.490287	tripartite motif-containing 24	TRIM24	NM_003852 /// NM_015905 
204392_at	Hs.434875	calcium/calmodulin-dependent protein kinase I	CAMK1	NM_003656 
204393_s_at	Hs.433060	acid phosphatase, prostate	ACPP	NM_001099 
204394_at	Hs.444159	solute carrier family 43, member 1	SLC43A1	NM_003627 
204395_s_at	Hs.524625	G protein-coupled receptor kinase 5	GRK5	NM_005308 
204396_s_at	Hs.524625	G protein-coupled receptor kinase 5	GRK5	NM_005308 
204397_at	Hs.24178	echinoderm microtubule associated protein like 2	EML2	NM_012155 
204398_s_at	Hs.24178	echinoderm microtubule associated protein like 2	EML2	NM_012155 
204399_s_at	Hs.24178	echinoderm microtubule associated protein like 2	EML2	NM_012155 
204400_at	Hs.24587	embryonal Fyn-associated substrate	EFS	NM_005864 /// NM_032459 
204401_at	Hs.10082	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	KCNN4	NM_002250 
204402_at	Hs.106730	chromosome 22 open reading frame 3	C22orf3	NM_012265 
204403_x_at	Hs.406492	KIAA0738 gene product	KIAA0738	NM_014719 
204404_at	Hs.162585	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	SLC12A2	NM_001046 
204405_x_at	Hs.533222	dimethyladenosine transferase	HSA9761	NM_014473 
204406_at	Hs.507621	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	FLT1	NM_002019 
204407_at	Hs.486818	transcription termination factor, RNA polymerase II	TTF2	NM_003594 
204408_at	Hs.555936	APEX nuclease (apurinic/apyrimidinic endonuclease) 2	APEX2	NM_014481 
204409_s_at	Hs.461178	eukaryotic translation initiation factor 1A, Y-linked	EIF1AY	NM_004681 
204410_at	Hs.461178	eukaryotic translation initiation factor 1A, Y-linked	EIF1AY	NM_004681 
204411_at	Hs.169182	kinesin family member 21B	KIF21B	XM_371332 
204412_s_at	Hs.198760	neurofilament, heavy polypeptide 200kDa	NEFH	NM_021076 
204413_at	Hs.522506	TNF receptor-associated factor 2	TRAF2	NM_021138 
204414_at	Hs.474667	like-glycosyltransferase	LARGE	NM_004737 /// NM_133642 
204415_at	Hs.523847	interferon, alpha-inducible protein (clone IFI-6-16)	G1P3	NM_002038 /// NM_022872 /// NM_022873 
204416_x_at	Hs.110675	apolipoprotein C-I	APOC1	NM_001645 
204417_at	Hs.513439	galactosylceramidase (Krabbe disease)	GALC	NM_000153 
204418_x_at	Hs.279837	glutathione S-transferase M2 (muscle)	GSTM2	NM_000848 
204419_x_at	Hs.444301	hemoglobin, gamma A /// hemoglobin, gamma A /// hemoglobin, gamma G /// hemoglobin, gamma G	HBG1 /// HBG2	NM_000184 /// NM_000559 
204420_at	Hs.283565	FOS-like antigen 1	FOSL1	NM_005438 
204421_s_at	Hs.284244	fibroblast growth factor 2 (basic)	FGF2	NM_002006 
204422_s_at	Hs.284244	fibroblast growth factor 2 (basic)	FGF2	NM_002006 
204423_at	Hs.44693	muskelin 1, intracellular mediator containing kelch motifs	MKLN1	NM_013255 
204424_s_at	Hs.504908	LIM domain only 3 (rhombotin-like 2)	LMO3	NM_001001395 /// NM_018640 
204425_at	Hs.558300	Rho GTPase activating protein 4	ARHGAP4	NM_001666 
204426_at	Hs.75914	transmembrane emp24 domain trafficking protein 2	TMED2	NM_006815 
204427_s_at	Hs.75914	transmembrane emp24 domain trafficking protein 2	TMED2	NM_006815 
204428_s_at	Hs.387239	lecithin-cholesterol acyltransferase	LCAT	NM_000229 
204429_s_at	Hs.530003	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	SLC2A5	NM_003039 
204430_s_at	Hs.530003	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	SLC2A5	NM_003039 
204431_at	Hs.332173	transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)	TLE2	NM_003260 
204432_at	Hs.43627	SRY (sex determining region Y)-box 12	SOX12	NM_006943 
204433_s_at	Hs.48513	spermatogenesis associated 2	SPATA2	NM_006038 
204434_at	Hs.48513	spermatogenesis associated 2	SPATA2	NM_006038 
204435_at	Hs.507537	nucleoporin like 1	NUPL1	NM_001008564 /// NM_001008565 /// NM_014089 
204436_at	Hs.458575	PH domain-containing protein	pp9099	NM_025201 
204437_s_at	Hs.73769	folate receptor 1 (adult)	FOLR1	NM_000802 /// NM_016724 /// NM_016725 /// NM_016729 /// NM_016730 /// NM_016731 
204438_at	Hs.75182	mannose receptor, C type 1 /// mannose receptor, C type 1-like 1	MRC1 /// MRC1L1	NM_001009567 /// NM_002438 
204439_at	Hs.389724	interferon-induced protein 44-like	IFI44L	NM_006820 
204440_at	Hs.484703	CD83 antigen (activated B lymphocytes, immunoglobulin superfamily)	CD83	NM_004233 
204441_s_at	Hs.201897	polymerase (DNA directed), alpha 2 (70kD subunit)	POLA2	NM_002689 
204442_x_at	Hs.466766	latent transforming growth factor beta binding protein 4	LTBP4	NM_003573 
204443_at	Hs.88251	arylsulfatase A	ARSA	NM_000487 
204444_at	Hs.8878	kinesin family member 11	KIF11	NM_004523 
204445_s_at	Hs.89499	arachidonate 5-lipoxygenase	ALOX5	NM_000698 
204446_s_at	Hs.89499	arachidonate 5-lipoxygenase	ALOX5	NM_000698 
204447_at	Hs.90232	ProSAPiP1 protein	ProSAPiP1	NM_014731 
204448_s_at	Hs.9302	phosducin-like	PDCL	NM_005388 
204449_at	Hs.9302	phosducin-like	PDCL	NM_005388 
204450_x_at	Hs.559009	apolipoprotein A-I /// similar to Apolipoprotein A-I precursor (Apo-AI)	APOA1 /// LOC440837	NM_000039 /// XM_496536 
204451_at	Hs.94234	frizzled homolog 1 (Drosophila)	FZD1	NM_003505 
204452_s_at	Hs.94234	frizzled homolog 1 (Drosophila)	FZD1	NM_003505 
204453_at	Hs.445019	zinc finger protein 84 (HPF2)	ZNF84	NM_003428 
204454_at	Hs.45231	leucine zipper, down-regulated in cancer 1	LDOC1	NM_012317 
204455_at	Hs.485616	dystonin	DST	NM_001723 /// NM_015548 /// NM_020388 /// NM_183380 
204456_s_at	Hs.65029	growth arrest-specific 1	GAS1	NM_002048 
204457_s_at	Hs.65029	growth arrest-specific 1	GAS1	NM_002048 
204458_at	Hs.513685	lysophospholipase 3 (lysosomal phospholipase A2)	LYPLA3	NM_012320 
204459_at	Hs.567232	cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa	CSTF2	NM_001325 
204460_s_at	Hs.531879	RAD1 homolog (S. pombe)	RAD1	NM_001033673 /// NM_002853 /// NM_133377 
204461_x_at	Hs.531879	RAD1 homolog (S. pombe)	RAD1	NM_001033673 /// NM_002853 /// NM_133377 
204462_s_at	Hs.75317	solute carrier family 16 (monocarboxylic acid transporters), member 2	SLC16A2	NM_006517 
204463_s_at	Hs.183713	endothelin receptor type A	EDNRA	NM_001957 
204464_s_at	Hs.183713	endothelin receptor type A	EDNRA	NM_001957 
204465_s_at	Hs.500916	internexin neuronal intermediate filament protein, alpha	INA	NM_032727 
204466_s_at	Hs.271771	synuclein, alpha (non A4 component of amyloid precursor) /// synuclein, alpha (non A4 component of amyloid precursor)	SNCA	NM_000345 /// NM_007308 
204467_s_at	Hs.271771	synuclein, alpha (non A4 component of amyloid precursor) /// synuclein, alpha (non A4 component of amyloid precursor)	SNCA	NM_000345 /// NM_007308 
204468_s_at	Hs.78824	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	TIE1	NM_005424 
204469_at	Hs.489824	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	PTPRZ1	NM_002851 
204470_at	Hs.789	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	CXCL1	NM_001511 
204471_at	Hs.134974	growth associated protein 43	GAP43	NM_002045 
204472_at	Hs.345139	GTP binding protein overexpressed in skeletal muscle	GEM	NM_005261 /// NM_181702 
204473_s_at	Hs.79347	zinc finger protein 592	ZNF592	NM_014630 
204474_at	Hs.554779	zinc finger protein 142 (clone pHZ-49)	ZNF142	NM_005081 
204475_at	Hs.83169	matrix metallopeptidase 1 (interstitial collagenase)	MMP1	NM_002421 
204476_s_at	Hs.89890	pyruvate carboxylase	PC	NM_000920 /// NM_022172 
204477_at	Hs.90875	RAB interacting factor	RABIF	NM_002871 
204478_s_at	Hs.90875	RAB interacting factor	RABIF	NM_002871 
204479_at	Hs.494192	osteoclast stimulating factor 1	OSTF1	NM_012383 
204480_s_at	Hs.522412	chromosome 9 open reading frame 16	C9orf16	NM_024112 
204481_at	Hs.1004	bromodomain and PHD finger containing, 1	BRPF1	NM_001003694 /// NM_004634 
204482_at	Hs.505337	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)	CLDN5	NM_003277 
204483_at	Hs.224171	enolase 3 (beta, muscle)	ENO3	NM_001976 /// NM_053013 
204484_at	Hs.497487	phosphoinositide-3-kinase, class 2, beta polypeptide	PIK3C2B	NM_002646 
204485_s_at	Hs.153504	target of myb1-like 1 (chicken)	TOM1L1	NM_005486 
204486_at	---	potassium voltage-gated channel, KQT-like subfamily, member 1	KCNQ1	NM_000218 /// NM_181797 /// NM_181798 
204487_s_at	---	potassium voltage-gated channel, KQT-like subfamily, member 1	KCNQ1	NM_000218 /// NM_181797 /// NM_181798 
204488_at	Hs.531563	transmembrane protein 15	TMEM15	NM_014908 
204489_s_at	Hs.502328	CD44 antigen (homing function and Indian blood group system)	CD44	NM_000610 /// NM_001001389 /// NM_001001390 /// NM_001001391 /// NM_001001392 
204490_s_at	Hs.502328	CD44 antigen (homing function and Indian blood group system)	CD44	NM_000610 /// NM_001001389 /// NM_001001390 /// NM_001001391 /// NM_001001392 
204491_at	Hs.117545	Phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	PDE4D	NM_006203 
204492_at	Hs.400818	Rho GTPase activating protein 11A	ARHGAP11A	NM_014783 /// NM_199357 
204493_at	Hs.474150	BH3 interacting domain death agonist	BID	NM_001196 /// NM_197966 /// NM_197967 
204494_s_at	Hs.17936	DKFZP434H132 protein	DKFZP434H132	NM_015492 
204495_s_at	Hs.17936	DKFZP434H132 protein	DKFZP434H132	NM_015492 
204496_at	Hs.401843	striatin, calmodulin binding protein 3	STRN3	NM_014574 
204497_at	Hs.391860	adenylate cyclase 9	ADCY9	NM_001116 
204498_s_at	Hs.391860	adenylate cyclase 9	ADCY9	NM_001116 
204499_at	Hs.494321	ATP/GTP binding protein 1	AGTPBP1	NM_015239 
204500_s_at	Hs.494321	ATP/GTP binding protein 1	AGTPBP1	NM_015239 
204501_at	Hs.235935	nephroblastoma overexpressed gene	NOV	NM_002514 
204502_at	Hs.472630	SAM domain and HD domain 1	SAMHD1	NM_015474 
204503_at	Hs.500635	envoplakin	EVPL	NM_001988 
204504_s_at	Hs.434864	HIRA interacting protein 3	HIRIP3	NM_003609 
204505_s_at	Hs.274122	erythrocyte membrane protein band 4.9 (dematin)	EPB49	NM_001978 
204506_at	Hs.280604	protein phosphatase 3 (formerly 2B), regulatory subunit B, 19kDa, alpha isoform (calcineurin B, type I)	PPP3R1	NM_000945 
204507_s_at	Hs.280604	protein phosphatase 3 (formerly 2B), regulatory subunit B, 19kDa, alpha isoform (calcineurin B, type I)	PPP3R1	NM_000945 
204508_s_at	Hs.210995	carbonic anhydrase XII	CA12	NM_001218 /// NM_206925 
204509_at	Hs.210995	carbonic anhydrase XII	CA12	NM_001218 /// NM_206925 
204510_at	Hs.533573	CDC7 cell division cycle 7 (S. cerevisiae)	CDC7	NM_003503 
204511_at	Hs.552580	FERM, RhoGEF and pleckstrin domain protein 2	FARP2	NM_014808 
204512_at	Hs.128930	human immunodeficiency virus type I enhancer binding protein 1	HIVEP1	NM_002114 
